Group,shap,region
AD,0.00868938647770532,hippocampus
AD,0.02882511608701536,hippocampus
AD,0.012505535175304044,hippocampus
AD,0.01077374603997244,hippocampus
AD,0.007962499806219995,hippocampus
AD,0.050599741917587975,hippocampus
AD,-0.0014114011542707607,hippocampus
AD,0.014938353241253716,hippocampus
AD,0.0229013639157383,hippocampus
AD,0.022113153307885623,hippocampus
AD,0.03704839620301945,hippocampus
AD,0.0366225793213742,hippocampus
AD,0.07151815431041951,hippocampus
AD,0.018321772119188708,hippocampus
AD,0.011241102486637015,hippocampus
AD,0.02072798097326132,hippocampus
AD,0.02406792476915857,hippocampus
AD,0.01627563794245358,hippocampus
AD,0.014064448056764671,hippocampus
AD,0.007971855557594845,hippocampus
AD,-0.009642175259054316,hippocampus
AD,-5.122436681596291e-05,hippocampus
